question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
What is your favorite machine learning algorithm and why? (Sample 1),Medium,Machine Learning,2025-05-09,,,,,,What is your favorite machine learning algorithm and why? (Sample 1),Machine Learning,Medium,medium,What is your favorite machine learning algorithm and why? (Sample 1)
What is the bias-variance tradeoff? (Sample 2),Medium,Machine Learning,2025-03-15,,,,,,What is the bias-variance tradeoff? (Sample 2),Machine Learning,Medium,medium,What is the bias-variance tradeoff? (Sample 2)
What are the key differences between classification and regression? (Sample 3),Medium,Machine Learning,2025-06-28,,,,,,What are the key differences between classification and regression? (Sample 3),Machine Learning,Medium,medium,What are the key differences between classification and regression? (Sample 3)
What is principal component analysis (PCA)? (Sample 4),Easy,Data Science,2024-09-03,,,,,,What is principal component analysis (PCA)? (Sample 4),Data Science,Easy,easy,What is principal component analysis (PCA)? (Sample 4)
How would you optimize a machine learning model? (Sample 5),Easy,Machine Learning,2025-01-30,,,,,,How would you optimize a machine learning model? (Sample 5),Machine Learning,Easy,easy,How would you optimize a machine learning model? (Sample 5)
Can you explain the concept of gradient descent? (Sample 6),Hard,Machine Learning,2025-07-25,,,,,,Can you explain the concept of gradient descent? (Sample 6),Machine Learning,Hard,hard,Can you explain the concept of gradient descent? (Sample 6)
Describe the process of feature selection. (Sample 7),Easy,Machine Learning,2024-11-03,,,,,,Describe the process of feature selection. (Sample 7),Machine Learning,Easy,easy,Describe the process of feature selection. (Sample 7)
What metrics would you use to evaluate a regression model? (Sample 8),Easy,Machine Learning,2025-06-09,,,,,,What metrics would you use to evaluate a regression model? (Sample 8),Machine Learning,Easy,easy,What metrics would you use to evaluate a regression model? (Sample 8)
What is the difference between bagging and boosting? (Sample 9),Medium,Machine Learning,2025-04-17,,,,,,What is the difference between bagging and boosting? (Sample 9),Machine Learning,Medium,medium,What is the difference between bagging and boosting? (Sample 9)
What is the bias-variance tradeoff? (Sample 10),Hard,Machine Learning,2025-01-07,,,,,,What is the bias-variance tradeoff? (Sample 10),Machine Learning,Hard,hard,What is the bias-variance tradeoff? (Sample 10)
What are the key differences between classification and regression? (Sample 11),Medium,Machine Learning,2024-12-23,,,,,,What are the key differences between classification and regression? (Sample 11),Machine Learning,Medium,medium,What are the key differences between classification and regression? (Sample 11)
What are the advantages of ensemble methods? (Sample 12),Hard,Machine Learning,2025-03-12,,,,,,What are the advantages of ensemble methods? (Sample 12),Machine Learning,Hard,hard,What are the advantages of ensemble methods? (Sample 12)
How would you explain the concept of overfitting? (Sample 13),Easy,Machine Learning,2024-10-28,,,,,,How would you explain the concept of overfitting? (Sample 13),Machine Learning,Easy,easy,How would you explain the concept of overfitting? (Sample 13)
How does a neural network work? (Sample 14),Medium,Deep Learning,2025-03-21,,,,,,How does a neural network work? (Sample 14),Deep Learning,Medium,medium,How does a neural network work? (Sample 14)
What is principal component analysis (PCA)? (Sample 15),Medium,Data Science,2024-09-10,,,,,,What is principal component analysis (PCA)? (Sample 15),Data Science,Medium,medium,What is principal component analysis (PCA)? (Sample 15)
Can you explain the concept of gradient descent? (Sample 16),Easy,Machine Learning,2025-06-29,,,,,,Can you explain the concept of gradient descent? (Sample 16),Machine Learning,Easy,easy,Can you explain the concept of gradient descent? (Sample 16)
How would you optimize a machine learning model? (Sample 17),Medium,Machine Learning,2025-04-13,,,,,,How would you optimize a machine learning model? (Sample 17),Machine Learning,Medium,medium,How would you optimize a machine learning model? (Sample 17)
What is regularization and why is it important? (Sample 18),Easy,Machine Learning,2025-01-22,,,,,,What is regularization and why is it important? (Sample 18),Machine Learning,Easy,easy,What is regularization and why is it important? (Sample 18)
How would you optimize a machine learning model? (Sample 19),Hard,Machine Learning,2025-06-23,,,,,,How would you optimize a machine learning model? (Sample 19),Machine Learning,Hard,hard,How would you optimize a machine learning model? (Sample 19)
Explain cross-validation and its purpose. (Sample 20),Hard,Machine Learning,2025-03-22,,,,,,Explain cross-validation and its purpose. (Sample 20),Machine Learning,Hard,hard,Explain cross-validation and its purpose. (Sample 20)
Describe the process of feature selection. (Sample 21),Hard,Machine Learning,2024-08-12,,,,,,Describe the process of feature selection. (Sample 21),Machine Learning,Hard,hard,Describe the process of feature selection. (Sample 21)
Explain the difference between L1 and L2 regularization. (Sample 22),Hard,Machine Learning,2025-04-17,,,,,,Explain the difference between L1 and L2 regularization. (Sample 22),Machine Learning,Hard,hard,Explain the difference between L1 and L2 regularization. (Sample 22)
What is your favorite machine learning algorithm and why? (Sample 23),Hard,Machine Learning,2024-12-24,,,,,,What is your favorite machine learning algorithm and why? (Sample 23),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 23)
Can you explain the concept of gradient descent? (Sample 24),Hard,Machine Learning,2025-05-09,,,,,,Can you explain the concept of gradient descent? (Sample 24),Machine Learning,Hard,hard,Can you explain the concept of gradient descent? (Sample 24)
What is regularization and why is it important? (Sample 25),Hard,Machine Learning,2025-02-13,,,,,,What is regularization and why is it important? (Sample 25),Machine Learning,Hard,hard,What is regularization and why is it important? (Sample 25)
What are the advantages of ensemble methods? (Sample 26),Easy,Machine Learning,2024-09-09,,,,,,What are the advantages of ensemble methods? (Sample 26),Machine Learning,Easy,easy,What are the advantages of ensemble methods? (Sample 26)
What is the difference between bagging and boosting? (Sample 27),Hard,Machine Learning,2025-01-26,,,,,,What is the difference between bagging and boosting? (Sample 27),Machine Learning,Hard,hard,What is the difference between bagging and boosting? (Sample 27)
What is the bias-variance tradeoff? (Sample 28),Easy,Machine Learning,2024-11-11,,,,,,What is the bias-variance tradeoff? (Sample 28),Machine Learning,Easy,easy,What is the bias-variance tradeoff? (Sample 28)
What metrics would you use to evaluate a regression model? (Sample 29),Medium,Machine Learning,2025-01-20,,,,,,What metrics would you use to evaluate a regression model? (Sample 29),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 29)
Describe a challenging machine learning project you have worked on. (Sample 30),Easy,Machine Learning,2024-09-10,,,,,,Describe a challenging machine learning project you have worked on. (Sample 30),Machine Learning,Easy,easy,Describe a challenging machine learning project you have worked on. (Sample 30)
Describe a challenging machine learning project you have worked on. (Sample 31),Medium,Machine Learning,2025-07-22,,,,,,Describe a challenging machine learning project you have worked on. (Sample 31),Machine Learning,Medium,medium,Describe a challenging machine learning project you have worked on. (Sample 31)
What is the role of activation functions in deep learning? (Sample 32),Hard,Deep Learning,2024-09-27,,,,,,What is the role of activation functions in deep learning? (Sample 32),Deep Learning,Hard,hard,What is the role of activation functions in deep learning? (Sample 32)
How would you optimize a machine learning model? (Sample 33),Hard,Machine Learning,2025-07-23,,,,,,How would you optimize a machine learning model? (Sample 33),Machine Learning,Hard,hard,How would you optimize a machine learning model? (Sample 33)
Explain cross-validation and its purpose. (Sample 34),Hard,Machine Learning,2025-01-12,,,,,,Explain cross-validation and its purpose. (Sample 34),Machine Learning,Hard,hard,Explain cross-validation and its purpose. (Sample 34)
What are the key differences between classification and regression? (Sample 35),Medium,Machine Learning,2025-03-07,,,,,,What are the key differences between classification and regression? (Sample 35),Machine Learning,Medium,medium,What are the key differences between classification and regression? (Sample 35)
What is the difference between bagging and boosting? (Sample 36),Hard,Machine Learning,2024-09-22,,,,,,What is the difference between bagging and boosting? (Sample 36),Machine Learning,Hard,hard,What is the difference between bagging and boosting? (Sample 36)
Explain the difference between L1 and L2 regularization. (Sample 37),Easy,Machine Learning,2025-01-22,,,,,,Explain the difference between L1 and L2 regularization. (Sample 37),Machine Learning,Easy,easy,Explain the difference between L1 and L2 regularization. (Sample 37)
How would you explain the concept of overfitting? (Sample 38),Easy,Machine Learning,2024-08-12,,,,,,How would you explain the concept of overfitting? (Sample 38),Machine Learning,Easy,easy,How would you explain the concept of overfitting? (Sample 38)
How would you explain the concept of overfitting? (Sample 39),Medium,Machine Learning,2025-03-05,,,,,,How would you explain the concept of overfitting? (Sample 39),Machine Learning,Medium,medium,How would you explain the concept of overfitting? (Sample 39)
What is your favorite machine learning algorithm and why? (Sample 40),Hard,Machine Learning,2024-12-18,,,,,,What is your favorite machine learning algorithm and why? (Sample 40),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 40)
